id,name,acronym,kind,latitude,longitude,belong_to
1,america do norte,AMN,continent,48.1667,-100.1667,
2,america central,AMC,continent,17.4,-91.0,
3,america do sul,AMS,continent,-13.0,-59.4,
4,europa,EU,continent,54.9,25.3167,
5,africa,AF,continent,7.1881,21.0936,
6,oceania,OC,continent,-30.0,140.0,
7,asia,AS,continent,46.283,86.67,
8,montenegro,montenegro,country,42.708678,19.37439,4
9,united kingdom,united kingdom,country,55.378051,-3.435973,4
10,greece,greece,country,39.074208,21.824312,4
11,denmark,denmark,country,56.26392,9.501785,4
12,slovakia,slovakia,country,48.669026,19.699024,4
13,switzerland,switzerland,country,46.818188,8.227511999999999,4
14,armenia,armenia,country,40.069099,45.038189,4
15,italy,italy,country,41.87194,12.56738,4
16,croatia,croatia,country,45.1,15.2,4
17,bulgaria,bulgaria,country,42.733883,25.48583,4
18,lithuania,lithuania,country,55.169438,23.881275,4
19,portugal,portugal,country,39.39987199999999,-8.224454,4
20,romania,romania,country,45.943161,24.96676,4
21,norway,norway,country,60.47202399999999,8.468945999999999,4
22,finland,finland,country,61.92410999999999,25.748151,4
23,belarus,belarus,country,53.709807,27.953389,4
24,slovenia,slovenia,country,46.151241,14.995463,4
25,moldova,moldova,country,47.411631,28.369885,4
26,estonia,estonia,country,58.595272,25.013607,4
27,ukraine,ukraine,country,48.379433,31.16558,4
28,serbia,serbia,country,44.016521,21.005859,4
29,netherlands,netherlands,country,52.132633,5.291265999999999,4
30,bosnia and herzegovina,bosnia and herzegovina,country,43.915886,17.679076,4
31,poland,poland,country,51.919438,19.145136,4
32,belgium,belgium,country,50.503887,4.469936,4
33,czech republic,czech republic,country,49.81749199999999,15.472962,4
34,liechtenstein,liechtenstein,country,47.166,9.555373,4
35,sweden,sweden,country,60.12816100000001,18.643501,4
36,ireland,ireland,country,53.41291,-8.24389,4
37,georgia,georgia,country,32.1656221,-82.9000751,4
38,germany,germany,country,51.165691,10.451526,4
39,hungary,hungary,country,47.162494,19.503304,4
40,france,france,country,46.227638,2.213749,4
41,spain,spain,country,40.46366700000001,-3.74922,4
42,austria,austria,country,47.516231,14.550072,4
43,monaco,monaco,country,43.73841760000001,7.424615799999999,4
44,latvia,latvia,country,56.879635,24.603189,4
45,albania,albania,country,41.153332,20.168331,4
46,macedonia,macedonia,country,41.608635,21.745275,4
47,gibraltar,gibraltar,country,36.140751,-5.353585,4
48,israel,israel,country,31.046051,34.851612,7
49,china,china,country,35.86166,104.195397,7
50,south korea,south korea,country,35.907757,127.766922,7
51,yemen,yemen,country,15.552727,48.516388,7
52,iraq,iraq,country,33.223191,43.679291,7
53,azerbaijan,azerbaijan,country,40.143105,47.576927,7
54,palestinian territory,palestinian territory,country,31.9465703,35.3027226,7
55,taiwan,taiwan,country,23.69781,120.960515,7
56,indonesia,indonesia,country,-0.789275,113.921327,7
57,uzbekistan,uzbekistan,country,41.377491,64.585262,7
58,lebanon,lebanon,country,33.854721,35.862285,7
59,japan,japan,country,36.204824,138.252924,7
60,turkey,turkey,country,38.963745,35.243322,7
61,kazakhstan,kazakhstan,country,48.019573,66.923684,7
62,philippines,philippines,country,12.879721,121.774017,7
63,hong kong,hong kong,country,22.396428,114.109497,7
64,syria,syria,country,34.80207499999999,38.996815,7
65,pakistan,pakistan,country,30.375321,69.34511599999999,7
66,malaysia,malaysia,country,4.210484,101.975766,7
67,bangladesh,bangladesh,country,23.684994,90.356331,7
68,iran,iran,country,32.427908,53.688046,7
69,russia,russia,country,61.52401,105.318756,7
70,thailand,thailand,country,15.870032,100.992541,7
71,india,india,country,20.593684,78.96288,7
72,east timor,east timor,country,-8.874217,125.727539,7
73,vietnam,vietnam,country,14.058324,108.277199,7
74,jordan,jordan,country,30.585164,36.238414,7
75,madagascar,madagascar,country,-18.766947,46.869107,5
76,tunisia,tunisia,country,33.886917,9.537499,5
77,nicaragua,nicaragua,country,12.865416,-85.207229,5
78,guinea bissau,guinea bissau,country,11.803749,-15.180413,5
79,senegal,senegal,country,14.497401,-14.452362,5
80,democratic republic of the congo,democratic republic of the congo,country,-4.038333,21.758664,5
81,egypt,egypt,country,26.820553,30.802498,5
82,liberia,liberia,country,6.428055,-9.429499000000002,5
83,togo,togo,country,8.619543,0.824782,5
84,zambia,zambia,country,-13.133897,27.849332,5
85,nigeria,nigeria,country,9.081999,8.675277,5
86,ivory coast,ivory coast,country,7.539988999999999,-5.547079999999999,5
87,south africa,south africa,country,-30.559482,22.937506,5
88,ethiopia,ethiopia,country,9.145000000000001,40.489673,5
89,cameroon,cameroon,country,7.369721999999999,12.354722,5
90,tanzania,tanzania,country,-6.369028,34.888822,5
91,sudan,sudan,country,12.862807,30.217636,5
92,zimbabwe,zimbabwe,country,-19.015438,29.154857,5
93,ghana,ghana,country,7.946527,-1.023194,5
94,republic of the congo,republic of the congo,country,-0.228021,15.827659,5
95,kenya,kenya,country,-0.023559,37.906193,5
96,mozambique,mozambique,country,-18.665695,35.529562,5
97,angola,angola,country,-11.202692,17.873887,5
98,niger,niger,country,17.607789,8.081666,5
99,morocco,morocco,country,31.791702,-7.092619999999999,5
100,gabon,gabon,country,-0.803689,11.609444,5
101,macao,macao,country,22.198745,113.543873,5
102,cape verde,cape verde,country,15.120142,-23.6051721,5
103,rwanda,rwanda,country,-1.940278,29.873888,5
104,burkina faso,burkina faso,country,12.238333,-1.561593,5
105,mauritania,mauritania,country,21.00789,-10.940835,5
106,algeria,algeria,country,28.033886,1.659626,5
107,mauritius,mauritius,country,-20.348404,57.55215200000001,5
108,benin,benin,country,9.30769,2.315834,5
109,australia,australia,country,-25.274398,133.775136,6
110,new zealand,new zealand,country,-40.900557,174.885971,6
111,samoa,samoa,country,-13.759029,-172.104629,6
112,papua new guinea,papua new guinea,country,-6.314992999999999,143.95555,6
113,united states,united states,country,37.09024,-95.712891,1
114,mexico,mexico,country,23.634501,-102.552784,1
115,canada,canada,country,56.130366,-106.346771,1
116,dominican republic,dominican republic,country,18.735693,-70.162651,2
117,panama,panama,country,8.537981,-80.782127,2
118,martinique,martinique,country,14.641528,-61.024174,2
119,honduras,honduras,country,15.199999,-86.241905,2
