id,name,kind,latitude,longitude,belong_to
1,america do norte,continent,48.1667,-100.1667,
2,america central,continent,17.4,-91.0,
3,america do sul,continent,-13.0,-59.4,
4,europa,continent,54.9,25.3167,
5,africa,continent,7.1881,21.0936,
6,oceania,continent,-30.0,140.0,
7,asia,continent,46.283,86.67,
8,montenegro,country,42.708678,19.37439,4
9,united kingdom,country,55.378051,-3.435973,4
10,greece,country,39.074208,21.824312,4
11,denmark,country,56.26392,9.501785,4
12,slovakia,country,48.669026,19.699024,4
13,switzerland,country,46.818188,8.227511999999999,4
14,armenia,country,40.069099,45.038189,4
15,italy,country,41.87194,12.56738,4
16,croatia,country,45.1,15.2,4
17,bulgaria,country,42.733883,25.48583,4
18,lithuania,country,55.169438,23.881275,4
19,portugal,country,39.39987199999999,-8.224454,4
20,romania,country,45.943161,24.96676,4
21,norway,country,60.47202399999999,8.468945999999999,4
22,finland,country,61.92410999999999,25.748151,4
23,belarus,country,53.709807,27.953389,4
24,slovenia,country,46.151241,14.995463,4
25,moldova,country,47.411631,28.369885,4
26,estonia,country,58.595272,25.013607,4
27,ukraine,country,48.379433,31.16558,4
28,serbia,country,44.016521,21.005859,4
29,netherlands,country,52.132633,5.291265999999999,4
30,bosnia and herzegovina,country,43.915886,17.679076,4
31,poland,country,51.919438,19.145136,4
32,belgium,country,50.503887,4.469936,4
33,czech republic,country,49.81749199999999,15.472962,4
34,liechtenstein,country,47.166,9.555373,4
35,sweden,country,60.12816100000001,18.643501,4
36,ireland,country,53.41291,-8.24389,4
37,georgia,country,32.1656221,-82.9000751,4
38,germany,country,51.165691,10.451526,4
39,hungary,country,47.162494,19.503304,4
40,france,country,46.227638,2.213749,4
41,spain,country,40.46366700000001,-3.74922,4
42,austria,country,47.516231,14.550072,4
43,monaco,country,43.73841760000001,7.424615799999999,4
44,latvia,country,56.879635,24.603189,4
45,albania,country,41.153332,20.168331,4
46,macedonia,country,41.608635,21.745275,4
47,gibraltar,country,36.140751,-5.353585,4
48,israel,country,31.046051,34.851612,7
49,china,country,35.86166,104.195397,7
50,south korea,country,35.907757,127.766922,7
51,yemen,country,15.552727,48.516388,7
52,iraq,country,33.223191,43.679291,7
53,azerbaijan,country,40.143105,47.576927,7
54,palestinian territory,country,31.9465703,35.3027226,7
55,taiwan,country,23.69781,120.960515,7
56,indonesia,country,-0.789275,113.921327,7
57,uzbekistan,country,41.377491,64.585262,7
58,lebanon,country,33.854721,35.862285,7
59,japan,country,36.204824,138.252924,7
60,turkey,country,38.963745,35.243322,7
61,kazakhstan,country,48.019573,66.923684,7
62,philippines,country,12.879721,121.774017,7
63,hong kong,country,22.396428,114.109497,7
64,syria,country,34.80207499999999,38.996815,7
65,pakistan,country,30.375321,69.34511599999999,7
66,malaysia,country,4.210484,101.975766,7
67,bangladesh,country,23.684994,90.356331,7
68,iran,country,32.427908,53.688046,7
69,russia,country,61.52401,105.318756,7
70,thailand,country,15.870032,100.992541,7
71,india,country,20.593684,78.96288,7
72,east timor,country,-8.874217,125.727539,7
73,vietnam,country,14.058324,108.277199,7
74,jordan,country,30.585164,36.238414,7
75,madagascar,country,-18.766947,46.869107,5
76,tunisia,country,33.886917,9.537499,5
77,nicaragua,country,12.865416,-85.207229,5
78,guinea bissau,country,11.803749,-15.180413,5
79,senegal,country,14.497401,-14.452362,5
80,democratic republic of the congo,country,-4.038333,21.758664,5
81,egypt,country,26.820553,30.802498,5
82,liberia,country,6.428055,-9.429499000000002,5
83,togo,country,8.619543,0.824782,5
84,zambia,country,-13.133897,27.849332,5
85,nigeria,country,9.081999,8.675277,5
86,ivory coast,country,7.539988999999999,-5.547079999999999,5
87,south africa,country,-30.559482,22.937506,5
