Ano;Cód.IES;Nome da IES;Sigla da IES;Categ. Administrativa;Org. Acadêmica;UF da IES;Nr. de Cursos Avaliados no Triênio;Nr. de Cursos com CPC no Triênio;alfa(Proporção de Graduandos);Conceito médio da Graduação;beta(Proporção de Mestrandos - Equivalente);Conceito Médio do Mestrado;Conceito Médio do doutorado;IGC (Contínuo);IGC (faixa);Obs:
2013;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Pública;Universidade;MT;63;60;0.8285;2.7919;0.7661;3.5667;2.2397;3.0395;4;
2013;2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública;Universidade;DF;45;43;0.4909;3.4280;0.5515;4.1861;2.7481;3.9426;4;
2013;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Pública;Universidade;SE;68;60;0.8611;2.8581;0.7559;3.5996;2.3204;3.0517;4;
2013;4;UNIVERSIDADE FEDERAL DO AMAZONAS;UFAM;Pública;Universidade;AM;67;66;0.8754;2.5598;0.6234;3.4638;1.9599;2.7567;3;
2013;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Pública;Universidade;PI;58;58;0.9332;2.8216;0.8400;3.2957;2.0000;2.9087;3;
2013;6;UNIVERSIDADE FEDERAL DE OURO PRETO;UFOP;Pública;Universidade;MG;29;29;0.7815;3.2441;0.7168;3.8757;2.7478;3.4933;4;
2013;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Pública;Universidade;SP;31;30;0.4247;3.3757;0.4627;4.1093;3.2779;4.0142;5;
2013;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Pública;Universidade;MG;43;41;0.4854;3.4797;0.4785;4.4190;3.6589;4.0706;5;
2013;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Pública;Universidade;PR;39;39;0.7012;3.3232;0.6084;3.9679;2.7709;3.6435;4;
2013;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Privada;Universidade;PR;67;65;0.8767;2.6511;0.6192;4.4523;2.6116;2.8824;3;
2013;11;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;UNICAP;Privada;Universidade;PE;22;21;0.9317;2.3035;0.8287;3.8155;2.0000;2.4425;3;
2013;12;UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;Pública;Universidade;RS;31;31;0.7262;2.7555;0.6003;4.0050;2.6402;3.2022;4;
2013;13;UNIVERSIDADE DE CAXIAS DO SUL;UCS;Privada;Universidade;RS;75;74;0.9637;2.9212;0.7829;3.9165;2.6023;2.9750;4;
2013;14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;UNISINOS;Privada;Universidade;RS;40;36;0.8332;3.3581;0.6127;4.4462;3.5010;3.5715;4;
2013;15;UNIVERSIDADE CATÓLICA DE PETRÓPOLIS;UCP;Privada;Universidade;RJ;20;20;0.9295;2.7306;0.8129;3.6143;2.0000;2.8378;3;
2013;17;UNIVERSIDADE FEDERAL DE UBERLÂNDIA;UFU;Pública;Universidade;MG;54;52;0.6871;3.1808;0.5770;4.2261;3.0827;3.5956;4;
2013;18;UNIVERSIDADE CATÓLICA DE PELOTAS;UCPEL;Privada;Universidade;RS;24;22;0.8341;2.7809;0.6438;4.6169;3.0000;3.0892;4;
2013;19;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS;PUC-CAMPINAS;Privada;Universidade;SP;40;40;0.9735;2.4796;0.7063;4.2752;3.0000;2.5345;3;
2013;20;UNIVERSIDADE DE PASSO FUNDO;UPF;Privada;Universidade;RS;70;70;0.9419;2.9176;0.8944;3.6498;2.0000;2.9974;4;
2013;21;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PUCRS;Privada;Universidade;RS;44;43;0.7343;3.1520;0.5238;4.7938;3.5056;3.5656;4;
2013;22;UNIVERSIDADE PRESBITERIANA MACKENZIE;MACKENZIE;Privada;Universidade;SP;33;33;0.9097;2.6898;0.6605;4.4873;2.7236;2.8598;3;
2013;23;UNIVERSIDADE FEEVALE;FEEVALE;Privada;Universidade;RS;33;32;0.9683;3.2115;0.7364;4.1269;3.0000;3.2524;4;
2013;24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;UESC;Pública;Universidade;BA;24;24;0.8307;2.7437;0.7444;3.7275;2.5965;3.0109;4;
2013;27;UNIVERSIDADE VALE DO RIO VERDE;UNINCOR;Privada;Universidade;MG;21;15;0.9883;2.0158;1.0000;3.0000;0.0000;2.0390;3;
2013;29;UNIVERSIDADE ESTADUAL DO CEARÁ;UECE;Pública;Universidade;CE;51;51;0.8700;2.4376;0.7591;3.8077;2.3898;2.6846;3;
2013;30;UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO;UNIFENAS;Privada;Universidade;MG;29;18;0.9768;2.4969;1.0000;3.7391;0.0000;2.5404;3;
2013;32;UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL;UNCISAL;Pública;Universidade;AL;6;6;1.0000;2.3995;0.0000;0.0000;0.0000;2.3995;3;
2013;38;UNIVERSIDADE DO ESTADO DO PARÁ;UEPA;Pública;Universidade;PA;19;19;0.9599;2.0319;1.0000;3.1744;0.0000;2.1144;3;
2013;40;UNIVERSIDADE DO ESTADO DA BAHIA;UNEB;Pública;Universidade;BA;85;82;0.9554;2.3784;0.7770;3.1966;2.0000;2.4541;3;
2013;43;FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA;UDESC;Pública;Universidade;SC;26;26;0.7594;3.4883;0.7443;3.8411;2.3773;3.6945;4;
2013;47;UNIVERSIDADE ESTADUAL DE GOIÁS;UEG;Pública;Universidade;GO;113;108;0.9897;2.2560;1.0000;3.0000;0.0000;2.2741;3;
2013;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Pública;Universidade;SP;41;41;0.2569;2.6044;0.3796;4.7778;3.8641;4.1787;5;
2013;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Pública;Universidade;SP;127;125;0.4985;3.1200;0.4880;4.5684;3.1165;3.8488;4;
2013;57;UNIVERSIDADE ESTADUAL DE MARINGÁ;UEM;Pública;Universidade;PR;42;40;0.7201;3.0559;0.5281;4.5419;2.9163;3.4744;4;
2013;71;UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE;UERN;Pública;Universidade;RN;37;36;0.9578;2.6387;1.0000;3.0000;0.0000;2.6962;3;
2013;76;UNIVERSIDADE REGIONAL DE BLUMENAU;FURB;Pública;Universidade;SC;37;36;0.9261;2.7035;0.8877;3.9021;2.3333;2.8298;3;
2013;81;UNIVERSIDADE DA REGIÃO DE JOINVILLE;UNIVILLE;Privada;Universidade;SC;23;23;0.9596;2.4987;1.0000;3.3057;0.0000;2.5655;3;
2013;82;UNIVERSIDADE DO OESTE DE SANTA CATARINA;UNOESC;Pública;Universidade;SC;73;63;0.9938;2.8308;1.0000;3.0000;0.0000;2.8381;3;
2013;83;UNIVERSIDADE DO VALE DO ITAJAÍ;UNIVALI;Privada;Universidade;SC;38;38;0.8895;2.9603;0.8049;4.2581;2.5764;3.1353;4;
2013;95;UNIVERSIDADE ESTADUAL DO VALE DO ACARAÚ;UVA;Pública;Universidade;CE;20;20;0.9950;2.3255;1.0000;3.0000;0.0000;2.3338;3;
2013;107;UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI;UFSJ;Pública;Universidade;MG;21;21;0.8656;3.2358;0.9049;3.3566;2.0000;3.3602;4;
2013;137;UNIVERSIDADE DO SAGRADO CORAÇÃO;USC;Privada;Universidade;SP;24;21;0.9651;3.0862;0.5546;3.0000;1.0000;3.1129;4;
2013;140;UNIVERSIDADE SEVERINO SOMBRA;USS;Privada;Universidade;RJ;19;15;0.9667;2.5615;1.0000;3.0000;0.0000;2.6094;3;
2013;143;UNIVERSIDADE DE UBERABA;UNIUBE;Privada;Universidade;MG;41;38;0.9959;2.3308;1.0000;3.0000;0.0000;2.3377;3;
2013;150;UNIVERSIDADE DE SOROCABA;UNISO;Privada;Universidade;SP;31;26;0.9577;2.5207;0.6599;3.3583;2.0000;2.5884;3;
2013;163;UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada;Universidade;RJ;165;158;0.9929;2.4462;0.7285;4.3741;2.4600;2.4610;3;
2013;165;UNIVERSIDADE VEIGA DE ALMEIDA;UVA;Privada;Universidade;RJ;39;39;0.9866;3.2132;1.0000;4.0000;0.0000;3.2304;4;
2013;167;UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada;Universidade;SP;32;29;0.9538;2.5055;0.6876;4.1021;2.8142;2.5960;3;
2013;176;UNIVERSIDADE CASTELO BRANCO;UCB;Privada;Universidade;RJ;26;25;1.0000;2.0780;0.0000;0.0000;0.0000;2.0780;3;
2013;203;UNIVERSIDADE SÃO JUDAS TADEU;USJT;Privada;Universidade;SP;31;31;0.9941;2.7736;0.6931;3.0000;1.0000;2.7803;3;
2013;208;UNIVERSIDADE DE RIBEIRÃO PRETO;UNAERP;Privada;Universidade;SP;32;31;0.9344;3.0528;0.7326;3.6280;2.4600;3.1327;4;
2013;215;UNIVERSIDADE DO GRANDE ABC;UNIABC;Privada com fins lucrativos;Universidade;SP;19;19;1.0000;2.4712;0.0000;0.0000;0.0000;2.4712;3;
2013;221;UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada;Universidade;SP;38;36;0.9510;2.9569;0.5231;3.6935;2.2514;3.0189;4;
2013;227;UNIVERSIDADE CATÓLICA DE SANTOS;UNISANTOS;Privada;Universidade;SP;23;22;0.9238;2.8815;0.9444;4.0000;2.0000;3.0027;4;
2013;240;UNIVERSIDADE SANTA ÚRSULA;USU;Privada;Universidade;RJ;1;1;1.0000;1.1160;0.0000;0.0000;0.0000;1.1160;2;
2013;264;UNIVERSIDADE SÃO MARCOS;USM;Privada sem fins lucrativos;Universidade;SP;5;5;;;0.0000;0.0000;0.0000;;SC;
2013;266;UNIVERSIDADE METODISTA DE PIRACICABA;UNIMEP;Privada;Universidade;SP;37;36;0.9008;2.4444;0.6530;3.9052;2.1921;2.6303;3;
2013;271;UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada;Universidade;SP;37;36;0.9702;3.0332;0.9359;3.6591;2.0000;3.0711;4;
2013;275;UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;Privada;Universidade;SP;31;25;0.9177;2.5547;0.6565;3.7426;2.0000;2.6937;3;
2013;295;UNIVERSIDADE DE SANTA CRUZ DO SUL;UNISC;Privada;Universidade;RS;41;41;0.9197;3.1002;0.7749;3.8209;3.0000;3.2040;4;
