sigla;people;DD;avgDD;D;avgD;avgDDbyP;Ano;CodIES;NomeIES;siglai;CategAdmin;OrgAcademica;UF;nAvTri;nCPC;alfa;graduacao;beta;mestrado;doutorado;igcc;igcf;Obs;rufpos;NomeUni;siglar;UFr;PubPri;ensino;pesquisa;mercado;inovacao;interna;rufnota
usp;11310;50817735.356331624;4493.168466519153;49149;4;1027.3896892110358;;;;;;;;;;;;;;;;;;1;Universidade de São Paulo;USP;SP;Pública;7;1;1;1;3;97
ufmg;3582;17886974.397844248;4993.571858694653;15368;4;1195.9188444005915;2013;575;UNIVERSIDADE FEDERAL DE MINAS GERAIS;UFMG;Pública;Universidade;MG;53;52;0.4395;3.3791;0.4117;4.7381;3.9012;4.1367;5;;2;Universidade Federal de Minas Gerais;UFMG;MG;Pública;1;6;2;3;9;96.55
ufrj;5114;22604894.045023967;4420.198288037537;21522;4;1110.091760876991;2013;586;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UFRJ;Pública;Universidade;RJ;56;55;0.4390;2.7812;0.4412;4.6947;3.7720;3.8597;4;;3;Universidade Federal do Rio de Janeiro;UFRJ;RJ;Pública;3;3;5;4;4;96.53
ufrgs;3344;19372352.702081595;5793.167674067463;14453;4;1380.2860471027807;2013;581;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UFRGS;Pública;Universidade;RS;56;54;0.3840;3.5929;0.4484;4.7982;3.7896;4.2946;5;;4;Universidade Federal do Rio Grande do Sul;UFRGS;RS;Pública;2;5;9;6;13;95.87
unicamp;4062;20085532.529575292;4944.739667546847;17784;4;1140.9157356770897;2013;54;UNIVERSIDADE ESTADUAL DE CAMPINAS;UNICAMP;Pública;Universidade;SP;41;41;0.2569;2.6044;0.3796;4.7778;3.8641;4.1787;5;;5;Universidade Estadual de Campinas;UNICAMP;SP;Pública;8;2;11;2;17;95.23
unesp;5339;18024143.382859554;3375.9399480913194;23691;4;730.7523344306564;2013;56;UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO;UNESP;Pública;Universidade;SP;127;125;0.4985;3.1200;0.4880;4.5684;3.1165;3.8488;4;;6;Universidade Estadual Paulista Júlio de Mesquita Filho;UNESP;SP;Pública;11;7;5;7;24;93.17
ufsc;2778;15027608.449828386;5409.506281435704;11849;4;1310.6428092161427;2013;585;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC;Pública;Universidade;SC;52;50;0.4623;3.3069;0.4928;4.5807;3.3882;4.0151;5;;7;Universidade Federal de Santa Catarina;UFSC;SC;Pública;6;10;22;8;12;91.79
unb;2698;17426864.64991002;6459.178891738333;11035;4;1642.490471716504;2013;2;UNIVERSIDADE DE BRASÍLIA;UNB;Pública;Universidade;DF;45;43;0.4909;3.4280;0.5515;4.1861;2.7481;3.9426;4;;8;Universidade de Brasília;UNB;DF;Pública;4;12;22;10;11;91.09
ufpr;2287;9769940.938889405;4271.9461910316595;9888;4;1025.8215789684361;2013;571;UNIVERSIDADE FEDERAL DO PARANÁ;UFPR;Pública;Universidade;PR;48;44;0.5501;2.8507;0.5468;4.2564;2.7763;3.5751;4;;9;Universidade Federal do Paraná;UFPR;PR;Pública;10;13;11;5;20;91.01
ufscar;1642;5791846.158304391;3527.311911269422;7029;4;817.9219141717066;2013;7;UNIVERSIDADE FEDERAL DE SÃO CARLOS;UFSCAR;Pública;Universidade;SP;31;30;0.4247;3.3757;0.4627;4.1093;3.2779;4.0142;5;;10;Universidade Federal de São Carlos;UFSCAR;SP;Pública;5;9;43;13;19;89.54
ufpe;2463;13365992.132250153;5426.7121933618155;10387;4;1354.5854510121274;2013;580;UNIVERSIDADE FEDERAL DE PERNAMBUCO;UFPE;Pública Federal;Universidade;PE;58;56;0.5640;2.8479;0.5204;4.3417;2.8513;3.5617;4;;11;Universidade Federal de Pernambuco;UFPE;PE;Pública;13;16;9;11;22;89.14
unifesp;2411;7576761.707539208;3142.5805506176725;11340;4;663.630437851443;2013;591;UNIVERSIDADE FEDERAL DE SÃO PAULO;UNIFESP;Pública;Universidade;SP;19;18;0.2911;2.7918;0.5037;4.3411;3.4157;4.0538;5;;12;Universidade Federal de São Paulo;UNIFESP;SP;Pública;14;4;52;25;10;88.37
