Ranking;Nome da Universidade;sigla;UF;Pública/Privada;Ensino;Pesquisa;Mercado;Inovação;Internacionalização;Nota
1;Universidade de São Paulo;USP;SP;Pública;7;1;1;1;3;97
2;Universidade Federal de Minas Gerais;UFMG;MG;Pública;1;6;2;3;9;96.55
3;Universidade Federal do Rio de Janeiro;UFRJ;RJ;Pública;3;3;5;4;4;96.53
4;Universidade Federal do Rio Grande do Sul;UFRGS;RS;Pública;2;5;9;6;13;95.87
5;Universidade Estadual de Campinas;UNICAMP;SP;Pública;8;2;11;2;17;95.23
6;Universidade Estadual Paulista Júlio de Mesquita Filho;UNESP;SP;Pública;11;7;5;7;24;93.17
7;Universidade Federal de Santa Catarina;UFSC;SC;Pública;6;10;22;8;12;91.79
8;Universidade de Brasília;UNB;DF;Pública;4;12;22;10;11;91.09
9;Universidade Federal do Paraná;UFPR;PR;Pública;10;13;11;5;20;91.01
10;Universidade Federal de São Carlos;UFSCAR;SP;Pública;5;9;43;13;19;89.54
11;Universidade Federal de Pernambuco;UFPE;PE;Pública;13;16;9;11;22;89.14
12;Universidade Federal de São Paulo;UNIFESP;SP;Pública;14;4;52;25;10;88.37
13;Universidade Federal do Ceará;UFC;CE;Pública;21;11;11;27;5;87.76
14;Universidade Federal da Bahia;UFBA;BA;Pública;20;17;11;14;16;87.27
15;Universidade Federal de Santa Maria;UFSM;RS;Pública;15;14;32;23;41;86.44
16;Universidade Federal Fluminense;UFF;RJ;Pública;18;22;22;24;23;85.9
17;Universidade do Estado do Rio de Janeiro;UERJ;RJ;Pública;34;8;16;41;6;85.63
18;Pontifícia Universidade Católica do Rio Grande do Sul;PUCRS;RS;Privada;24;19;16;12;25;84.87
19;Universidade Federal de Viçosa;UFV;MG;Pública;9;20;52;8;63;84.51
20;Pontifícia Universidade Católica do Rio de Janeiro;PUC-RIO;RJ;Privada;22;21;22;27;6;83.91
21;Universidade Federal do Rio Grande do Norte;UFRN;RN;Pública;16;30;32;22;37;82.64
